iter	Passed	Remaining
0	59	59715
1	60	30035
2	60	20129
3	60	15185
4	61	12220
5	61	10233
6	62	8813
7	62	7746
8	62	6917
9	63	6257
10	63	5721
11	64	5272
12	64	4890
13	64	4560
14	65	4276
15	65	4027
16	65	3814
17	66	3622
18	66	3446
19	67	3295
20	67	3155
21	68	3029
22	68	2913
23	69	2807
24	69	2710
25	69	2618
26	70	2536
27	70	2457
28	71	2385
29	71	2316
30	72	2253
31	72	2193
32	72	2137
33	73	2082
34	73	2031
35	74	1985
36	74	1942
37	75	1900
38	75	1862
39	76	1824
40	76	1790
41	76	1754
42	77	1720
43	77	1686
44	77	1655
45	78	1625
46	78	1595
47	79	1569
48	79	1542
49	79	1517
50	80	1492
51	80	1469
52	80	1445
53	81	1424
54	81	1403
55	82	1383
56	82	1363
57	82	1344
58	83	1326
59	83	1307
60	83	1290
61	84	1274
62	84	1258
63	84	1243
64	85	1227
65	85	1212
66	86	1198
67	86	1181
68	86	1167
69	86	1153
70	87	1141
71	87	1128
72	87	1116
73	88	1103
74	88	1093
75	88	1081
76	89	1071
77	89	1061
78	90	1052
79	90	1043
80	91	1033
81	91	1023
82	91	1014
83	92	1005
84	92	994
85	92	985
86	92	975
87	93	967
88	93	959
89	94	952
90	94	944
91	94	936
92	95	928
93	95	921
94	95	914
95	96	907
96	96	900
97	97	893
98	97	886
99	97	879
100	98	873
101	98	865
102	98	859
103	99	853
104	99	848
105	99	842
106	100	836
107	100	830
108	100	825
109	101	819
110	101	814
111	102	808
112	102	803
113	102	798
114	103	793
115	103	787
116	103	782
117	104	777
118	104	773
119	104	769
120	105	765
121	105	761
122	105	755
123	106	750
124	106	746
125	106	741
126	107	737
127	107	732
128	107	728
129	108	724
130	108	720
131	109	716
132	109	712
133	109	709
134	110	705
135	110	701
136	110	698
137	111	694
138	111	690
139	111	687
140	112	684
141	112	680
142	113	678
143	113	675
144	114	672
145	114	669
146	114	666
147	115	662
148	115	659
149	115	656
150	116	653
151	116	650
152	116	647
153	117	644
154	117	641
155	118	638
156	118	635
157	118	633
158	119	630
159	119	628
160	120	626
161	120	623
162	120	621
163	121	618
164	121	615
165	122	613
166	122	610
167	122	607
168	123	605
169	123	602
170	123	600
171	124	598
172	124	596
173	125	593
174	125	591
175	125	589
176	126	587
177	126	585
178	127	583
179	127	581
180	127	577
181	128	575
182	128	573
183	128	570
184	129	568
185	129	566
186	129	564
187	130	562
188	130	560
189	131	558
190	131	556
191	131	554
192	132	553
193	132	551
194	132	548
195	133	547
196	133	545
197	134	543
198	134	541
199	134	539
200	135	538
201	135	536
202	136	534
203	136	532
204	136	530
205	137	528
206	137	526
207	137	525
208	138	523
209	138	521
210	138	519
211	139	517
212	139	515
213	139	514
214	140	512
215	140	511
216	141	509
217	141	507
218	141	505
219	142	504
220	142	502
221	142	500
222	143	499
223	143	497
224	144	496
225	144	494
226	144	492
227	145	491
228	145	489
229	145	487
230	146	486
231	146	484
232	146	482
233	147	481
234	147	479
235	147	478
236	148	476
237	148	475
238	148	473
239	149	472
240	149	470
241	149	469
242	150	468
243	150	466
244	150	465
245	151	463
246	151	462
247	152	461
248	152	459
249	152	458
250	153	456
251	153	455
252	153	454
253	154	453
254	154	452
255	155	451
256	155	450
257	156	448
258	156	447
259	156	446
260	157	444
261	157	443
262	157	442
263	158	440
264	158	439
265	158	438
266	159	437
267	159	435
268	159	434
269	160	433
270	160	431
271	160	430
272	161	429
273	161	428
274	161	426
275	162	425
276	162	424
277	162	423
278	163	421
279	163	420
280	164	419
281	164	418
282	164	417
283	165	416
284	165	415
285	166	414
286	166	413
287	166	412
288	167	411
289	167	410
290	167	409
291	168	408
292	168	407
293	169	406
294	169	405
295	169	404
296	170	403
297	170	401
298	170	400
299	171	399
300	171	398
301	172	397
302	172	396
303	172	395
304	173	394
305	173	393
306	174	392
307	174	391
308	174	390
309	175	390
310	175	389
311	176	388
312	176	387
313	176	386
314	177	385
315	177	384
316	177	383
317	178	382
318	178	381
319	179	380
320	179	380
321	180	379
322	180	378
323	181	378
324	181	377
325	181	376
326	182	375
327	182	374
328	183	373
329	183	372
330	183	371
331	184	370
332	184	369
333	184	368
334	185	367
335	185	366
336	186	366
337	186	365
338	186	364
339	187	363
340	187	362
341	187	361
342	188	360
343	188	359
344	188	358
345	189	357
346	189	356
347	189	355
348	190	355
349	190	354
350	190	353
351	191	352
352	191	351
353	192	350
354	192	349
355	192	348
356	193	347
357	193	346
358	193	345
359	194	344
360	194	344
361	194	343
362	195	342
363	195	341
364	196	340
365	196	340
366	196	339
367	197	338
368	197	337
369	198	337
370	198	336
371	198	335
372	199	335
373	199	334
374	200	333
375	200	332
376	200	331
377	201	331
378	201	330
379	202	329
380	202	328
381	202	328
382	203	327
383	203	326
384	203	325
385	204	324
386	204	324
387	204	323
388	205	322
389	205	321
390	206	320
391	206	320
392	206	319
393	207	318
394	207	317
395	207	316
396	208	316
397	208	315
398	208	314
399	209	313
400	209	312
401	209	312
402	210	311
403	210	310
404	211	310
405	211	309
406	211	308
407	212	308
408	212	307
409	212	306
410	213	305
411	213	304
412	213	304
413	214	303
414	214	302
415	214	301
416	215	301
417	215	300
418	216	299
419	216	298
420	216	298
421	217	297
422	217	297
423	218	296
424	218	295
425	218	295
426	219	294
427	219	293
428	220	293
429	220	292
430	221	291
431	221	291
432	221	290
433	222	289
434	222	288
435	222	288
436	223	287
437	223	286
438	223	286
439	224	285
440	224	284
441	225	284
442	225	283
443	226	283
444	226	282
445	226	281
446	227	281
447	227	280
448	228	279
449	228	279
450	228	278
451	229	277
452	229	277
453	229	276
454	230	275
455	230	274
456	230	274
457	231	273
458	231	272
459	231	272
460	232	271
461	232	270
462	232	270
463	233	269
464	233	268
465	234	268
466	234	267
467	234	267
468	235	266
469	235	265
470	236	265
471	236	264
472	237	264
473	237	263
474	237	262
475	238	262
476	238	261
477	239	261
478	239	260
479	240	260
480	240	259
481	240	258
482	241	258
483	241	257
484	242	257
485	242	256
486	242	255
487	243	255
488	243	254
489	244	254
490	244	253
491	245	252
492	245	252
493	245	251
494	246	251
495	246	250
496	246	249
497	247	249
498	247	248
499	247	247
500	248	247
501	248	246
502	249	246
503	249	245
504	250	245
505	250	244
506	250	244
507	251	243
508	251	242
509	252	242
510	252	241
511	253	241
512	253	240
513	254	240
514	254	239
515	255	239
516	255	238
517	256	238
518	256	237
519	256	237
520	257	236
521	257	235
522	257	235
523	258	234
524	258	233
525	258	233
526	259	232
527	259	232
528	260	231
529	260	231
530	260	230
531	261	229
532	261	229
533	262	228
534	262	228
535	263	227
536	263	227
537	263	226
538	264	226
539	264	225
540	265	225
541	265	224
542	266	223
543	266	223
544	266	222
545	267	222
546	267	221
547	268	221
548	268	220
549	268	220
550	269	219
551	269	218
552	270	218
553	270	217
554	270	217
555	271	216
556	271	216
557	272	215
558	272	215
559	272	214
560	273	213
561	273	213
562	274	212
563	274	212
564	274	211
565	275	210
566	275	210
567	275	209
568	276	209
569	276	208
570	276	208
571	277	207
572	277	206
573	278	206
574	278	205
575	278	205
576	279	204
577	279	204
578	280	203
579	280	203
580	280	202
581	281	201
582	281	201
583	281	200
584	282	200
585	282	199
586	282	199
587	283	198
588	283	198
589	284	197
590	284	197
591	285	196
592	286	196
593	286	195
594	286	195
595	287	194
596	287	194
597	288	193
598	288	193
599	289	192
600	289	192
601	289	191
602	290	191
603	290	190
604	290	189
605	291	189
606	291	188
607	292	188
608	292	187
609	292	187
610	293	186
611	293	186
612	293	185
613	294	184
614	294	184
615	294	183
616	295	183
617	295	182
618	296	182
619	296	181
620	296	181
621	297	180
622	297	180
623	298	179
624	298	179
625	298	178
626	299	177
627	299	177
628	299	176
629	300	176
630	300	175
631	301	175
632	301	174
633	301	174
634	302	173
635	303	173
636	303	172
637	304	172
638	304	172
639	304	171
640	305	170
641	305	170
642	306	170
643	306	169
644	306	168
645	307	168
646	307	167
647	308	167
648	308	166
649	308	166
650	309	165
651	309	165
652	309	164
653	310	164
654	310	163
655	310	163
656	311	162
657	311	162
658	312	161
659	312	161
660	312	160
661	313	160
662	313	159
663	314	158
664	315	158
665	315	158
666	316	157
667	316	157
668	316	156
669	317	156
670	317	155
671	317	155
672	318	154
673	318	154
674	319	153
675	319	153
676	319	152
677	320	152
678	320	151
679	320	150
680	321	150
681	321	149
682	321	149
683	322	148
684	322	148
685	323	148
686	323	147
687	324	147
688	324	146
689	325	146
690	325	145
691	326	145
692	326	144
693	326	144
694	327	143
695	327	143
696	328	142
697	328	142
698	328	141
699	329	141
700	329	140
701	330	140
702	330	139
703	331	139
704	331	138
705	331	138
706	332	137
707	332	137
708	332	136
709	333	136
710	333	135
711	333	135
712	334	134
713	334	134
714	335	133
715	335	133
716	335	132
717	336	131
